State,Latitude,Longitude,Labour,Liberal
Victoria,-37.0201,144.9646,0.58566152,0.41433848
NSW,-31.840233,145.612793,0.416502186,0.583497814
ACT,-35.282001,149.128998,0.548121231,0.451878769
